"ef_regulation","ef_trade","ef_money","ef_legal","ef_government","pf_identity","pf_expression","pf_association","pf_religion","pf_movement","pf_ss","pf_rol","pf_ss_homicide","pf_ss_disappearances_disap","pf_ss_disappearances_violent","pf_ss_disappearances_organized","pf_ss_disappearances_fatalities","pf_ss_disappearances_injuries"
6.906901139,8.21489951,9.55365739,5.071813726,7.935563809,6.25,8.607142857,10,9.192592593,6.666666667,8.80680981,5.291751647,8.920429431,10,10,10,10,10
5.268992397,4.127024824,7.253893581,4.690742835,3.616782254,0.833333333,7.380952381,5,4.944814815,5,8.043882199,3.819566026,9.456253595,10,9.294029701,5,9.926119387,9.990149252
5.518500441,5.264754044,5.606605364,2.963635116,6.496684826,7.5,6.452380952,4,8.786666667,5,8.297864524,3.451813885,8.060260239,5,10,7.5,10,10
5.369018774,3.982546906,5.614335974,3.904030401,5.346056135,10,8.738095238,7.5,7.795925926,10,9.040383237,5.744791027,7.62297422,10,10,7.5,10,9.990877458
7.378068688,8.143241004,9.521939951,5.809214965,7.003309536,8,7.154761905,6.5,6.222222222,6.666666667,8.830548737,5.003205353,8.808749692,10,10,7.5,9.316196301,9.93161963
8.465525923,7.526720988,9.452540278,7.919018594,6.544178144,9.25,9.392857143,10,9.075925926,10,9.873961805,7.77627878,9.623537569,10,10,10,10,9.991739227
7.371334189,8.106732583,9.432829777,7.915986905,5.086294924,10,9.333333333,10,7.925185185,10,9.91263738,8.171748815,9.73791214,10,10,10,10,10
6.874879541,7.216524628,7.513486983,5.652732259,5.175449013,6.25,4.70846197,3,5.461111111,5,8.667523503,4.270861177,9.143499301,10,5.183346431,7.5,9.965839336,9.979503602
8.169124596,6.685901668,6.890103656,6.658107268,8.281449394,10,8.895833333,7.79410355535456,7.938888889,10,5,6.400790273,0,10,10,5.86768933426279,10,10
7.415786274,7.403403472,9.404353401,5.265601627,8.317484908,3.333333333,4.130952381,5,7.461481481,6.666666667,8.006967709,5.900338722,9.790481421,10,10,2.5,9.766109938,9.719331926
6.690103383,6.039372579,6.983616746,3.234259181,8.545118177,1.25,7.041990115,7,5.933333333,5,7.587379567,3.132892486,8.998764808,5,9.916130495,5,9.844534576,9.889537725
6.524767706,7.089900747,6.404613122,5.756723061,6.383359154,5,9.125,7.6951294500518,8.494444444,10,7.818568207,6.699287431,5.637136413,10,10,7.5,10,10
6.37724484,7.175739042,5.332776772,5.525957318,6.761446145,8,5.80952381,2.5,5.153333333,3.333333333,9.188711522,5.128924941,8.566134566,10,10,5,10,10
8.102653904,8.201221562,9.377365846,7.066600168,3.875398037,9.25,9.75,10,8.131481481,10,9.345020809,7.751100945,9.220406912,10,10,10,8.941656709,5.131620863
7.883867878,7.050434549,7.204524495,5.137397422,7.015975829,10,8.520833333,9.83003538705324,9.055,10,6.666666667,4.268872009,0,10,10,4.17278792752402,10,10
6.85592866,6.02654585,7.013885064,3.822761377,6.182574541,10,8.988095238,9.5,9.413333333,6.666666667,8.031187091,4.129479992,7.526894608,10,10,7.5,10,10
7.701471606,6.332537979,6.72091122,6.871067334,7.461619694,3.75,7.25,4.98331687274024,7.257777778,5,8.849427826,5.925574544,9.548283477,10,10,7.5,10,10
4.975270619,6.987042221,9.386300221,3.632945402,6.162804536,10,8.416666667,6.5,8.428148148,10,8.437752282,3.051401851,7.479923513,10,10,7.5,10,10
7.413612448,7.784776849,8.315905677,4.134907779,5.358630085,9.25,8.654761905,9.5,8.515185185,6.666666667,8.941062682,5.470080395,9.489854712,10,10,5,10,10
7.769776873,7.679525354,9.056783223,5.950516249,6.702037586,4.25,7.8125,6.59222726669954,9.008333333,8.333333333,7.161570546,5.641683932,3.984711638,10,10,10,10,10
4.093309339,7.00029082,7.972060321,4.575175835,5.125270067,7.5,8.341230646,6.5,7.411851852,10,6.111004095,4.65167253,0,10,10,10,9.998394757,10
8.443079366,7.05484304,8.797458945,5.35463823,5,1.666666667,4.55952381,1,0,7.5,6.600939245,6.163383438,9.802817735,10,10,4.25034807310427,10,10
7.612747996,8.122354972,9.439348667,4.831211352,7.023392636,9.25,8.821428571,9.5,7.138888889,10,9.846657127,4.891372196,9.545583195,10,10,10,10,9.971940938
7.427553566,6.604145213,7.121433785,3.68765653,5.405461604,10,7.738095238,7.5,8.018888889,8.333333333,8.324656807,4.860574888,9.85202056,10,10,7.5,9.302815718,9.806933583
6.271879255,6.110770149,7.585470702,3.495487069,6.115441176,5.833333333,3.202380952,1.5,7.468518519,1.666666667,6.826708059,2.961469859,7.591791201,5,10,2.5,7.656177077,5.952154466
7.061529101,7.324052439,9.308534101,4.277906502,7.897866967,8.333333333,7.892857143,7.5,8.272592593,10,9.587538771,2.566741147,9.262616312,10,10,7.5,10,10
6.53004744,5.054770561,7.222024204,3.19956054,7.11162798,5,6.998575821,5.5,7.892962963,3.333333333,6.806230146,3.02691825,8.330359523,0,6.857115378,2.5,6.51580664,7.235399228
